Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
GTEX-N7MS-0011-R3a-SM-33HC6,GTEX-1IDFM-1126-SM-A96SY,,,GTEX-131XE-0526-SM-5K7YT,,,,
GTEX-13OW6-0011-R4a-SM-5O9DX,GTEX-117YW-1926-SM-5H121,,,GTEX-ZF2S-0826-SM-4WWBI,,,,
GTEX-13OVJ-0011-R7a-SM-5L3G1,GTEX-OOBK-0625-SM-3LK5P,,,GTEX-1A3MX-1326-SM-72D58,,,,
GTEX-WHSE-0011-R7A-SM-3P5YZ,GTEX-ZDTT-1326-SM-4WKFH,,,GTEX-O5YV-0326-SM-2I5H2,,,,
GTEX-16GPK-0011-R11b-SM-7MKFF,GTEX-14ICK-2026-SM-6AJB2,,,GTEX-1POEN-0726-SM-DTXDU,,,,
GTEX-11EI6-0011-R8a-SM-DO93M,GTEX-12WSN-5013-SM-7P8P9,,,GTEX-144GL-1026-SM-5O99R,,,,
GTEX-1445S-0011-R6b-SM-5PNUF,GTEX-XV7Q-1126-SM-4BRVS,,,GTEX-1212Z-0726-SM-5EGI5,,,,
GTEX-S7SE-0011-R5A-SM-2XCDA,GTEX-15F5U-5010-SM-AHZ2D,,,GTEX-13O1R-0926-SM-5L3DS,,,,
GTEX-147GR-0011-R2b-SM-5S2RQ,GTEX-VUSG-1226-SM-4KKZF,,,GTEX-14DAQ-1026-SM-793B1,,,,
GTEX-15SHU-0011-R3a-SM-7IGPS,GTEX-13JVG-2026-SM-5KM1N,,,GTEX-18465-0726-SM-7LG4L,,,,
GTEX-13FHP-0011-R1b-SM-5K7XL,GTEX-144GN-0626-SM-5O9B2,,,GTEX-18D9U-1426-SM-718BO,,,,
GTEX-PWO3-0011-R3A-SM-2I5EX,GTEX-ZPCL-1426-SM-57WEC,,,GTEX-1K9T9-1126-SM-D3L9E,,,,
GTEX-ZE9C-0011-R4a-SM-4WKH6,GTEX-1JMPZ-2026-SM-C1YR8,,,GTEX-1445S-1226-SM-5O9BF,,,,
GTEX-14E7W-0011-R10a-SM-5YYAX,GTEX-1LB8K-1326-SM-CXZKB,,,GTEX-YEC4-0326-SM-4W216,,,,
GTEX-1QP67-1626-SM-EAZ3X,GTEX-12WSA-1426-SM-5EGJU,,,GTEX-1R9K4-1326-SM-DTX8G,,,,
GTEX-YB5K-0626-SM-5LUB5,GTEX-146FR-0426-SM-5SI97,,,GTEX-1ICG6-0726-SM-B2LY5,,,,
GTEX-15UF6-2226-SM-6M471,GTEX-15RIF-0826-SM-6M47C,,,GTEX-P78B-1626-SM-5SI85,,,,
GTEX-1I6K6-2026-SM-CGQFE,GTEX-RNOR-1226-SM-48FDQ,,,GTEX-14ABY-0126-SM-62LDI,,,,
GTEX-1HBPN-1426-SM-9WPNO,GTEX-11LCK-1726-SM-5S2OQ,,,GTEX-18A7B-0326-SM-7LG65,,,,
GTEX-ZTTD-1426-SM-4YCEX,GTEX-1EU9M-2326-SM-7MKGS,,,GTEX-V1D1-2426-SM-3GAER,,,,
GTEX-1R9PM-1026-SM-EVR3N,GTEX-1LVAN-2326-SM-CNNPY,,,GTEX-13N11-2726-SM-5L3ER,,,,
GTEX-1E1VI-1626-SM-7EPIL,GTEX-1HCU8-2226-SM-9WPOV,,,GTEX-131XE-2726-SM-5P9G7,,,,
GTEX-1AX8Z-1826-SM-73KW6,,,,GTEX-1J8JJ-0126-SM-D3L93,,,,
GTEX-U3ZN-1826-SM-4DXUY,,,,GTEX-16MT8-0326-SM-6PAM5,,,,
GTEX-1R9K5-1626-SM-E76QB,,,,GTEX-1GN1V-0326-SM-9WYTO,,,,
GTEX-148VI-1226-SM-5RQJR,,,,GTEX-1M5QR-1326-SM-EWROC,,,,
GTEX-1B97J-1426-SM-79OLR,,,,GTEX-O5YV-2026-SM-2D7VS,,,,
GTEX-YFCO-0726-SM-5ZZVJ,,,,GTEX-1LB8K-0126-SM-EVYCN,,,,
GTEX-139TU-1326-SM-5LZXW,,,,GTEX-1HBPN-0526-SM-A9SM6,,,,
GTEX-1JMPZ-1926-SM-E9TIT,,,,GTEX-X88G-0326-SM-47JZ4,,,,
GTEX-13RTK-0626-SM-5Q5EK,,,,GTEX-RWS6-2126-SM-2XCAV,,,,
GTEX-QDVJ-0826-SM-48U1S,,,,GTEX-ZV7C-2426-SM-5NQ7Q,,,,
GTEX-1GZ2Q-2926-SM-7PBZL,,,,GTEX-13N1W-0526-SM-5MR4I,,,,
GTEX-ZLFU-1026-SM-5EQMZ,,,,GTEX-1LNCM-1226-SM-E9U5C,,,,
GTEX-1A3MV-1526-SM-731BO,,,,GTEX-POYW-0526-SM-2XCEY,,,,
GTEX-OIZG-0926-SM-3LK5Y,,,,GTEX-1I1GV-0126-SM-CL55G,,,,
GTEX-14PJ5-0626-SM-6LLIJ,,,,GTEX-U3ZG-0326-SM-47JXN,,,,
GTEX-1ICG6-2126-SM-CE6T2,,,,GTEX-1QW4Y-1726-SM-EWRN1,,,,
GTEX-ZTX8-0326-SM-59HLA,,,,GTEX-132Q8-0626-SM-5L3F3,,,,
GTEX-1F5PL-1126-SM-7P8SH,,,,GTEX-13NYS-0326-SM-5MR4L,,,,
GTEX-1QCLZ-1526-SM-EXUSS,,,,GTEX-1QP28-0526-SM-E8VNR,,,,
GTEX-1LVA9-2426-SM-EWROM,,,,GTEX-148VJ-0326-SM-5QGQE,,,,
GTEX-OXRK-1426-SM-3NB19,,,,GTEX-13NZA-0526-SM-5L3D7,,,,
GTEX-14PJ2-2726-SM-5ZZVZ,,,,GTEX-17JCI-0326-SM-7LG5H,,,,
GTEX-OOBK-0726-SM-3LK5Q,,,,GTEX-1GPI7-0426-SM-7RHHP,,,,
GTEX-13OVI-2526-SM-5KM4V,,,,GTEX-1399U-2526-SM-5L3DL,,,,
GTEX-1B8KZ-0626-SM-73KWE,,,,GTEX-U3ZH-1926-SM-4DXTR,,,,
GTEX-11I78-1426-SM-5PNVY,,,,GTEX-ZF3C-0326-SM-4WWBF,,,,
GTEX-13O21-0826-SM-5J2NU,,,,GTEX-1F5PL-0426-SM-7P8PR,,,,
GTEX-1J8QM-0826-SM-CJI2P,,,,GTEX-ZPCL-2026-SM-57WFD,,,,
GTEX-1RAZA-1426-SM-EV79H,,,,GTEX-1H1DG-0326-SM-9QEHK,,,,
GTEX-N7MS-1126-SM-3LK5E,,,,GTEX-REY6-0826-SM-2TF4S,,,,
GTEX-1QP67-0826-SM-EVR46,,,,GTEX-ZPIC-2526-SM-57WDP,,,,
GTEX-ZGAY-1226-SM-DO92W,,,,GTEX-X4XY-0626-SM-4E3IN,,,,
GTEX-WRHK-0426-SM-4MVOG,,,,GTEX-13112-2626-SM-5BC66,,,,
GTEX-15FZZ-1326-SM-6PANN,,,,GTEX-XUZC-2126-SM-4BRW8,,,,
