"","x"
"GTEX-1AX9J-0326-SM-73KXY",4
"GTEX-13OVL-0326-SM-5IJCS",4
"GTEX-1AYCT-2226-SM-7SB98",4
"GTEX-1QW4Y-0826-SM-DTXE1",4
"GTEX-1JKYR-1226-SM-CM2S7",4
"GTEX-14E1K-0426-SM-5S2PF",4
"GTEX-ZF3C-0226-SM-4WWB3",4
"GTEX-1QP2A-0226-SM-EVYBC",4
"GTEX-12WSF-1526-SM-6PAN6",4
"GTEX-14E1K-2126-SM-793DU",4
"GTEX-1MA7X-1026-SM-DKPQ8",4
"GTEX-1S82P-0226-SM-E6CI6",4
"GTEX-14E6D-0226-SM-62LDW",4
"GTEX-WYJK-0226-SM-EYYV8",4
"GTEX-ZYFD-0226-SM-5NQ86",4
"GTEX-15ER7-0426-SM-6PAM3",4
"GTEX-1QW4Y-1626-SM-EAZ41",4
"GTEX-1399R-2626-SM-5KLZ7",4
"GTEX-ZDTS-1826-SM-5S2N6",4
"GTEX-13O3P-0226-SM-5KM3Z",4
"GTEX-WRHK-0001-SM-4WWDD",85
"GTEX-ZEX8-0004-SM-4WKFQ",86
"GTEX-WYVS-0004-SM-4ONDT",87
"GTEX-1H2FU-0004-SM-EYYW8",88
"GTEX-XYKS-0002-SM-4BRWN",89
"GTEX-11I78-0001-SM-5Q5BE",90
"GTEX-X638-0003-SM-47JZ1",91
"GTEX-1HBPN-0002-SM-EYYW2",92
"GTEX-SNOS-0003-SM-3NMAO",93
"GTEX-15D1Q-0006-SM-9KNTN",94
"GTEX-Y5LM-0003-SM-4V6G1",93
"GTEX-1EKGG-0001-SM-EAZCL",88
"GTEX-U3ZG-0001-SM-47JYF",95
"GTEX-ZC5H-0004-SM-4WAXK",96
"GTEX-S4Q7-0003-SM-3NM8M",97
"GTEX-T5JW-0003-SM-3NMAD",98
"GTEX-1HGF4-0002-SM-EZ6M7",88
"GTEX-SUCS-0002-SM-3NMAJ",99
"GTEX-XAJ8-0006-SM-46MVM",100
"GTEX-11EM3-0001-SM-5Q5BD",101
"GTEX-WY7C-0004-SM-4ONDS",102
"GTEX-1LGOU-0326-SM-D3LAM",4
"GTEX-1EN7A-0726-SM-7PBXT",4
"GTEX-ZDXO-0726-SM-57WBT",4
"GTEX-13FXS-1026-SM-62LFQ",4
"GTEX-O5YV-0326-SM-2I5H2",4
"GTEX-14PJ2-1026-SM-6EU1M",4
