Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
TCGA-EJ-5514-01A-01R-1580-07,TCGA-85-A4JB-01A-51R-A262-07,GTEX-147F3-1926-SM-5SIB9,,TCGA-CC-A7IL-01A-11R-A33R-07,GTEX-Y3IK-2126-SM-4YCDS
TCGA-CH-5765-01A-11R-1580-07,GTEX-11P7K-1326-SM-5BC5G,GTEX-13FTX-0726-SM-5N9BI,,TCGA-4G-AAZO-01A-12R-A41I-07,GTEX-12WSD-2826-SM-59HKT
TCGA-HC-7078-01A-11R-2118-07,TCGA-J1-A4AH-01A-31R-A24H-07,TCGA-HU-A4HB-01A-12R-A251-31,,TCGA-ZP-A9CV-01A-11R-A38B-07,GTEX-TMMY-2226-SM-4DXTN
TCGA-VP-A87C-01A-11R-A352-07,TCGA-85-7843-01A-11R-2125-07,TCGA-BR-8384-01A-21R-2402-13,,TCGA-G3-A5SK-01A-11R-A27V-07,GTEX-S7SF-0826-SM-4AD4W
TCGA-XJ-A83G-01A-11R-A352-07,TCGA-22-1011-01A-01R-0692-07,GTEX-ZPCL-1226-SM-4WWFF,,TCGA-2Y-A9HB-01A-11R-A39D-07,GTEX-14BIM-2226-SM-5SI8Y
TCGA-G9-6384-01A-11R-1789-07,GTEX-R55C-0826-SM-48FCL,GTEX-Y8E4-1926-SM-4VBPW,,TCGA-EP-A3JL-01A-11R-A213-07,GTEX-T5JW-1526-SM-4DM5E
TCGA-G9-6366-01A-11R-2118-07,TCGA-55-8204-01A-11R-2241-07,GTEX-ZZPU-1826-SM-5E43L,,TCGA-2Y-A9H2-01A-12R-A38B-07,GTEX-ZTPG-2026-SM-5O999
TCGA-CH-5772-01A-11R-1580-07,,GTEX-ZYWO-0926-SM-5E43J,,TCGA-DD-A4NK-01A-11R-A28V-07,GTEX-RU72-2626-SM-4TT75
TCGA-CH-5790-01A-11R-1580-07,,GTEX-132AR-2526-SM-5PNVM,,TCGA-DD-A1EG-11A-11R-A213-07,GTEX-13QBU-1626-SM-5LU4S
TCGA-KK-A8IB-01A-11R-A36G-07,,GTEX-WYVS-0826-SM-4RTXB,,TCGA-CC-A3MA-01A-11R-A213-07,GTEX-WEY5-0726-SM-4LMID
