Cluster 1,Cluster 2,Cluster 3,Cluster 4
,GTEX-11GS4-0526-SM-5A5KQ,,GTEX-1399T-1326-SM-5PNVH
,GTEX-13FTZ-0326-SM-5J1O1,,GTEX-146FH-2026-SM-5SI9I
,GTEX-QEG5-0926-SM-2TC64,,GTEX-1LVAN-0126-SM-COH4H
,GTEX-17MF6-0926-SM-7LTAL,,GTEX-12WSD-0226-SM-59HKO
,GTEX-1K2DU-0226-SM-DIPF6,,GTEX-ZPU1-2426-SM-4WWFM
,GTEX-Y5V6-0826-SM-4VBRU,,GTEX-15SKB-1626-SM-6PAL6
,GTEX-1BAJH-1626-SM-73KUV,,GTEX-14PJ2-1426-SM-62LFF
,GTEX-1GMRU-1326-SM-9WYUI,,GTEX-1A8FM-0126-SM-7SB7P
,GTEX-1E2YA-0626-SM-7P8P4,,GTEX-1AMEY-1426-SM-7939I
,GTEX-1A8FM-1026-SM-7PC26,,GTEX-1EU9M-0326-SM-7RHGF
,GTEX-1IKOE-0626-SM-A9G31,,GTEX-WEY5-1926-SM-3GIL8
,GTEX-11DXY-0826-SM-5EGGR,,GTEX-UJHI-1626-SM-3DB9A
,GTEX-1A8G6-1626-SM-7MGWO,,GTEX-13S7M-0226-SM-5S2UG
,GTEX-ZYFG-0426-SM-5E43M,,GTEX-1JJ6O-0226-SM-E6CI9
,GTEX-1HSMO-1226-SM-CL548,,GTEX-1PPH8-0626-SM-EWRN9
,GTEX-ZYT6-1726-SM-5E44P,,GTEX-ZV68-0226-SM-59HJF
,GTEX-17HHY-1426-SM-7EWDQ,,GTEX-ZQUD-0526-SM-57WG4
,GTEX-1C64N-0826-SM-7RHGQ,,GTEX-X638-0226-SM-47JZ9
,GTEX-1C2JI-0626-SM-7DHM1,,GTEX-1JMQK-0126-SM-CM2S3
,GTEX-11ONC-0126-SM-5PNW6,,GTEX-1I1CD-0226-SM-CM2TL
,GTEX-1H3O1-0226-SM-9WYSW,,GTEX-ZGAY-0626-SM-DO92E
,GTEX-ZPU1-0726-SM-5HL6O,,GTEX-1GMR2-2526-SM-9MQKW
,GTEX-UJMC-0526-SM-3GAE3,,GTEX-1A3MX-0826-SM-72D64
,GTEX-131XE-0526-SM-5K7YT,,GTEX-1C64N-1326-SM-7SB7D
,GTEX-13PVR-0926-SM-5S2RB,,GTEX-13QBU-1326-SM-5LU4K
,GTEX-145LS-1326-SM-5Q5EP,,GTEX-1JJE9-1226-SM-CNPOI
,GTEX-111YS-0326-SM-5GZZ3,,GTEX-13O21-1526-SM-5K7W4
,GTEX-1RAZS-0826-SM-E76QP,,GTEX-12584-0226-SM-5EQL5
