i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
18,GTEX-13FXS-0011-R9a-SM-5K7UI,0.03343143519853806,0.04044633033805842,0.037541221954556246,0.0152397245152124,0.011987630860913978,0.1618466551881472,0.00012159782441634898,0.6712836306042052,0.01899176783741796,0.009110005678534216
19,GTEX-11ZVC-0011-R1b-SM-5BC6M,0.04793057417136168,0.05495881926619399,0.05218783449615836,0.024673569322763166,0.016887159144664137,0.14158544141604146,0.0006020474090267344,0.6208181604061854,0.027360136867768475,0.012996257499836484
20,GTEX-P44G-0011-R7A-SM-2I3F9,0.026236614412472787,0.02686916675649834,0.023867131353090515,0.011283117084538188,0.006440709958693196,0.07884706065766904,0.0008549218889798393,0.8073633300462938,0.011641657010197906,0.006596290831566402
21,GTEX-14C39-0011-R3b-SM-5YYA3,0.04080399445032416,0.041503614017597903,0.03985597735937277,0.01940438531713399,0.011007596616601192,0.09476528834518932,0.0003375032081080893,0.7249045058132677,0.019273982036166096,0.008143152836238763
22,GTEX-1GF9V-0011-R10b-SM-CKZNP,0.02292274663398281,0.020064280988715134,0.021214111616224596,0.00933979529078412,0.004532877803096692,0.08149532203968199,0.00016217809382267035,0.8272176826227906,0.009824364965282295,0.0032266399456189975
23,GTEX-NPJ7-0011-R9a-SM-2TC5R,0.04100559959822186,0.04143471215760684,0.04409557408609221,0.01897033047385688,0.016235729420290623,0.16981163216969913,0.009113003240116426,0.6251564491637747,0.025388883003771564,0.008788086686569833
24,GTEX-1313W-0011-R7b-SM-5DUWL,0.02141473222490348,0.021693021434029403,0.01942658281750122,0.008524004636630738,0.004725364855299048,0.07156230912073452,0.000424024438127349,0.8380702573926786,0.008836043957703666,0.005323659122391986
25,GTEX-13QJC-0011-R8b-SM-5S2U6,0.05852760587404044,0.061155280203068096,0.05826399670468968,0.029115256131192705,0.01917036742391218,0.0836666722462877,0.004909809772429816,0.6402020229739093,0.031176700129576997,0.01381228854089309
26,GTEX-Z93S-0011-R7b-SM-4RGNK,0.025799061339239305,0.026650167446565502,0.025098014003535674,0.010452969989822064,0.005387168220722287,0.053188959924885204,0.012298510979656719,0.8232591997358674,0.0108938374359093,0.006972110923796587
27,GTEX-1HSMO-0011-R2a-SM-CL553,0.03839703723995607,0.04191403671227278,0.04227165517253777,0.01814285547985394,0.012918952879423348,0.16810328408039032,0.005751239088738948,0.6421723707774343,0.02216606334202919,0.00816250522736327
28,GTEX-1B996-0011-R10b-SM-CJI3T,0.04058646172605097,0.039838012480622985,0.041941790109792605,0.02060230779908876,0.010574229879796893,0.084844771126019,0.0001520774563212883,0.7312809738396726,0.02297164078253234,0.007207734800102536
29,GTEX-1B933-0011-R2b-SM-7IGNM,0.04553893248691563,0.04643928676019575,0.04677678725892703,0.021353410084327312,0.013418081558377709,0.16185877790555303,0.0003448091339653486,0.6320617989874646,0.022625075735024217,0.009583040089249486
