i_doc,doc,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8
127,GTEX-13CF3-0926-SM-5LZZC,0.0173368,0.0105647,0.0332931,849.3510000000001,0.0160503,86.8476,0.013169899999999998,63.869
128,GTEX-13CF3-1726-SM-5LU9E,61.9938,0.0105647,900.422,0.030206900000000002,0.0160503,37.6592,0.013169899999999998,0.012999200000000002
129,GTEX-13CF3-2426-SM-5IFGX,0.0173368,0.0105647,0.0332931,0.030206900000000002,0.0160503,0.0245798,841.798,158.22799999999998
130,GTEX-13D11-0626-SM-5LZYY,0.0173368,0.0105647,928.1110000000001,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,71.9356
131,GTEX-13FH7-0526-SM-5IJF8,0.0173368,0.0105647,0.0332931,0.030206900000000002,0.0160503,234.584,765.454,0.012999200000000002
132,GTEX-13FH7-0826-SM-5J2NW,443.54900000000004,0.0105647,340.417,0.030206900000000002,0.0160503,216.109,0.013169899999999998,0.012999200000000002
133,GTEX-13FH7-0926-SM-5J2MR,655.567,0.0105647,180.835,0.030206900000000002,59.0575,104.632,0.013169899999999998,0.012999200000000002
134,GTEX-13FH7-1526-SM-5J2N6,0.0173368,0.0105647,914.89,0.030206900000000002,0.0160503,17.8649,67.3163,0.012999200000000002
135,GTEX-13FHO-2926-SM-5L3ES,0.0173368,0.0105647,0.0332931,108.97399999999999,717.429,0.0245798,0.013169899999999998,173.65599999999998
136,GTEX-13FLV-0011-R10b-SM-5LZZ2,0.0173368,0.0105647,0.0332931,0.030206900000000002,1000.02,0.0245798,0.013169899999999998,0.012999200000000002
137,GTEX-13FLV-0011-R6a-SM-5KLZ4,0.0173368,0.0105647,0.0332931,0.030206900000000002,1000.02,0.0245798,0.013169899999999998,0.012999200000000002
138,GTEX-13FTX-0005-SM-5N9F6,0.0173368,911.179,0.0332931,0.030206900000000002,0.0160503,88.8562,0.013169899999999998,0.012999200000000002
139,GTEX-13FTZ-0326-SM-5J1O1,0.0173368,0.0105647,647.23,160.263,29.0413,112.068,0.013169899999999998,51.5155
140,GTEX-13FXS-0011-R9a-SM-5K7UI,0.0173368,0.0105647,0.0332931,0.030206900000000002,1000.02,0.0245798,0.013169899999999998,0.012999200000000002
141,GTEX-13FXS-0726-SM-5LZXJ,0.0173368,0.0105647,0.0332931,1000.03,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
142,GTEX-13FXS-1026-SM-62LFQ,204.407,0.0105647,0.0332931,629.508,166.149,0.0245798,0.013169899999999998,0.012999200000000002
143,GTEX-13G51-0011-R1a-SM-5LZYR,0.0173368,0.0105647,0.0332931,0.030206900000000002,1000.02,0.0245798,0.013169899999999998,0.012999200000000002
144,GTEX-13G51-0011-R7b-SM-5LZXG,0.0173368,0.0105647,0.0332931,0.030206900000000002,1000.02,0.0245798,0.013169899999999998,0.012999200000000002
145,GTEX-13G51-2726-SM-5LZZ9,1000.02,0.0105647,0.0332931,0.030206900000000002,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
146,GTEX-13IVO-0011-R10a-SM-5LZY3,0.0173368,0.0105647,0.0332931,0.030206900000000002,1000.02,0.0245798,0.013169899999999998,0.012999200000000002
147,GTEX-13JUV-0011-R1a-SM-5LZY4,0.0173368,0.0105647,0.0332931,0.030206900000000002,1000.02,0.0245798,0.013169899999999998,0.012999200000000002
148,GTEX-13JUV-2026-SM-5K7UA,0.0173368,0.0105647,0.0332931,133.868,0.0160503,0.0245798,509.278,356.911
149,GTEX-13N1W-0011-R4a-SM-5MR52,0.0173368,0.0105647,0.0332931,0.030206900000000002,1000.02,0.0245798,0.013169899999999998,0.012999200000000002
150,GTEX-13N2G-0011-R2a-SM-5MR4Q,0.0173368,0.0105647,0.0332931,0.030206900000000002,1000.02,0.0245798,0.013169899999999998,0.012999200000000002
151,GTEX-13N2G-2226-SM-5IJCU,0.0173368,0.0105647,687.189,276.284,36.6066,0.0245798,0.013169899999999998,0.012999200000000002
152,GTEX-13NYB-0726-SM-5MR4J,0.0173368,0.0105647,0.0332931,1000.03,0.0160503,0.0245798,0.013169899999999998,0.012999200000000002
